yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
56,33855.0,13,2,Bursa,Gold,0
69,11158.0,50,3,Izmir,Standart,0
46,11400.0,28,7,Istanbul,Gold,1
32,19151.0,58,5,Bursa,Standart,0
60,5154.0,20,9,Istanbul,Standart,1
25,8499.0,28,6,Izmir,Premium,1
38,10295.0,8,7,Istanbul,Gold,0
56,16183.0,41,1,Bursa,Premium,0
36,33299.0,39,9,Istanbul,Gold,1
40,16874.0,1,7,Ankara,Premium,1
28,36711.0,3,2,Izmir,Premium,1
28,9539.0,13,6,Izmir,Gold,1
41,6557.0,28,2,Izmir,Standart,0
53,20482.0,57,6,Bursa,Standart,1
57,6200.0,49,1,Izmir,Standart,0
41,6961.0,25,9,Ankara,Gold,1
20,25357.0,56,5,Bursa,Gold,0
39,15969.0,33,2,Ankara,Standart,0
19,6869.0,38,2,Istanbul,Premium,0
41,32643.0,53,8,Istanbul,Gold,1
61,28736.0,6,6,Istanbul,Standart,1
47,27328.0,58,4,Istanbul,Premium,0
55,29876.0,44,9,Ankara,Gold,0
19,25295.0,45,6,Bursa,Standart,0
38,7987.0,32,8,Bursa,Premium,1
50,26399.0,45,0,Izmir,Standart,0
29,37986.0,47,6,Ankara,Gold,1
39,24880.0,21,5,Istanbul,Gold,0
61,8735.0,16,9,Ankara,Gold,1
42,8555.0,54,8,Izmir,Standart,1
66,23830.0,21,0,Izmir,Gold,0
44,21429.0,11,3,Ankara,Gold,0
59,10893.0,37,8,Ankara,Standart,1
45,18373.0,36,3,Ankara,Gold,0
33,7436.0,35,9,Bursa,Standart,1
32,12754.0,19,2,Istanbul,Premium,0
64,14677.0,20,8,Ankara,Standart,0
68,9895.0,57,1,Ankara,Standart,0
61,23738.0,18,3,Ankara,Standart,0
69,34746.0,47,5,Izmir,Premium,0
20,36352.0,41,1,Izmir,Standart,0
54,9600.0,49,7,Bursa,Premium,1
68,33124.0,14,7,Istanbul,Standart,0
24,31643.0,15,0,Bursa,Standart,0
38,13007.0,31,2,Istanbul,Premium,0
26,,1,9,Izmir,Premium,1
56,22589.0,53,8,Izmir,Standart,1
35,21453.0,54,4,Izmir,Premium,0
21,36635.0,54,5,Bursa,Gold,0
42,37828.0,3,3,Ankara,Premium,0
31,22711.0,16,9,Ankara,Standart,1
67,7420.0,23,1,Izmir,Standart,0
26,35216.0,57,7,Ankara,Gold,1
43,4301.0,11,5,Ankara,Standart,0
19,4699.0,12,4,Bursa,Gold,0
37,4190.0,10,8,Istanbul,Premium,1
45,14492.0,32,0,Izmir,Gold,0
64,39743.0,16,4,Izmir,Premium,0
24,10102.0,8,5,Bursa,Gold,0
61,23778.0,38,4,Bursa,Standart,0
25,30641.0,12,5,Ankara,Premium,0
64,38584.0,24,5,Izmir,Standart,0
52,36745.0,28,6,Istanbul,Standart,0
31,27093.0,53,3,Bursa,Premium,0
34,4569.0,8,7,Istanbul,Gold,1
53,38663.0,58,6,Istanbul,Gold,0
67,11455.0,28,8,Izmir,Premium,1
57,8014.0,36,6,Izmir,Standart,1
21,15093.0,26,2,Bursa,Standart,0
19,22070.0,8,2,Izmir,Premium,0
23,39777.0,58,7,Izmir,Standart,1
59,20538.0,50,4,Izmir,Standart,0
21,14729.0,28,3,Istanbul,Standart,0
46,38177.0,28,7,Bursa,Standart,0
35,4784.0,37,5,Ankara,Standart,0
43,31751.0,41,1,Istanbul,Standart,0
61,16533.0,36,3,Izmir,Standart,0
51,9801.0,27,3,Istanbul,Standart,0
27,23190.0,54,5,Izmir,Gold,0
53,33592.0,17,5,Izmir,Standart,0
31,,9,0,Istanbul,Standart,0
48,12716.0,33,7,Bursa,Premium,1
65,27355.0,53,5,Izmir,Standart,0
32,26009.0,20,2,Bursa,Gold,0
25,28376.0,13,8,Ankara,Premium,0
31,8780.0,28,1,Izmir,Standart,0
40,6368.0,48,7,Bursa,Standart,1
57,16039.0,29,9,Bursa,Gold,0
38,10655.0,13,2,Ankara,Gold,0
33,8495.0,46,4,Bursa,Standart,0
62,14893.0,35,5,Bursa,Premium,0
35,29547.0,6,9,Ankara,Standart,0
64,26386.0,18,5,Izmir,Gold,0
41,17403.0,51,3,Bursa,Standart,0
43,36097.0,5,2,Bursa,Gold,0
42,17121.0,47,3,Bursa,Premium,0
62,14966.0,25,0,Istanbul,Premium,0
58,37621.0,2,3,Ankara,Premium,0
46,32312.0,10,0,Istanbul,Standart,0
32,,56,0,Ankara,Standart,0
62,35289.0,30,9,Izmir,Standart,1
18,35024.0,50,5,Izmir,Standart,0
42,8777.0,59,4,Bursa,Premium,0
24,33749.0,45,3,Ankara,Standart,0
26,19338.0,5,2,Izmir,Standart,0
41,6491.0,55,0,Ankara,Gold,0
18,31236.0,56,5,Izmir,Gold,0
61,18599.0,33,1,Istanbul,Gold,0
25,23508.0,54,7,Izmir,Gold,1
41,7051.0,1,9,Istanbul,Standart,1
28,25606.0,18,4,Izmir,Standart,0
68,25699.0,32,6,Bursa,Premium,1
34,4876.0,47,9,Istanbul,Premium,1
25,36093.0,49,1,Izmir,Standart,0
52,8142.0,11,7,Bursa,Gold,0
52,19202.0,21,1,Istanbul,Standart,0
50,11079.0,26,3,Bursa,Standart,0
22,11987.0,25,0,Ankara,Premium,0
59,32940.0,22,4,Ankara,Premium,0
56,21019.0,59,8,Istanbul,Premium,1
58,22077.0,27,0,Izmir,Standart,0
45,30258.0,49,8,Istanbul,Gold,0
24,25136.0,13,7,Bursa,Standart,1
26,12311.0,33,5,Izmir,Standart,0
25,21214.0,34,6,Ankara,Gold,0
29,18098.0,41,2,Izmir,Gold,0
51,32251.0,35,0,Ankara,Gold,0
50,29945.0,1,4,Izmir,Gold,0
65,29316.0,21,1,Izmir,Premium,0
40,36217.0,48,4,Izmir,Premium,0
41,12308.0,55,7,Bursa,Standart,0
54,9949.0,6,8,Bursa,Standart,1
52,5150.0,28,1,Istanbul,Standart,0
61,27944.0,17,2,Istanbul,Standart,0
57,38699.0,5,2,Ankara,Premium,0
39,13204.0,31,0,Bursa,Standart,0
44,5081.0,5,7,Ankara,Standart,1
52,33305.0,38,5,Istanbul,Standart,0
18,20896.0,3,7,Ankara,Premium,1
52,11805.0,53,8,Istanbul,Standart,0
54,9237.0,23,4,Bursa,Gold,0
64,24056.0,37,2,Izmir,Standart,0
31,7343.0,53,4,Bursa,Standart,0
20,17500.0,37,4,Ankara,Premium,0
18,33375.0,10,4,Ankara,Gold,0
22,13662.0,10,2,Bursa,Standart,0
43,20964.0,19,9,Bursa,Premium,1
31,12130.0,17,3,Istanbul,Premium,0
56,23531.0,21,8,Ankara,Standart,1
44,5679.0,14,9,Ankara,Gold,1
26,7506.0,9,8,Bursa,Premium,1
32,17284.0,46,1,Izmir,Premium,0
32,11253.0,1,7,Ankara,Gold,1
43,23128.0,51,7,Izmir,Gold,1
59,31932.0,45,6,Bursa,Premium,1
30,13435.0,13,7,Bursa,Gold,1
68,17296.0,4,2,Istanbul,Premium,1
49,34445.0,1,5,Ankara,Premium,0
56,17245.0,49,0,Izmir,Premium,0
66,33124.0,40,6,Istanbul,Premium,1
69,33899.0,32,0,Ankara,Standart,0
49,39247.0,34,8,Istanbul,Gold,1
21,33222.0,28,0,Bursa,Gold,0
47,30211.0,31,0,Ankara,Standart,0
54,,8,6,Istanbul,Gold,1
40,27049.0,39,1,Istanbul,Standart,0
56,18069.0,26,4,Izmir,Standart,0
62,36580.0,58,7,Istanbul,Premium,1
32,35843.0,34,7,Ankara,Standart,1
60,,54,2,Ankara,Gold,0
46,27289.0,54,6,Izmir,Gold,1
53,39257.0,3,2,Ankara,Premium,0
30,13823.0,59,5,Bursa,Standart,0
49,13540.0,50,5,Ankara,Standart,0
24,20364.0,12,2,Ankara,Premium,0
68,8611.0,1,6,Istanbul,Gold,1
39,31663.0,54,2,Istanbul,Premium,0
45,34977.0,44,7,Ankara,Standart,1
19,33168.0,5,9,Izmir,Premium,1
59,29471.0,30,3,Istanbul,Premium,0
62,26687.0,30,0,Izmir,Premium,0
23,4851.0,59,3,Ankara,Standart,0
45,22071.0,57,6,Ankara,Premium,1
45,,17,3,Bursa,Premium,0
61,15938.0,48,5,Istanbul,Gold,0
61,39195.0,47,8,Ankara,Standart,0
37,30144.0,23,0,Bursa,Premium,0
47,8000.0,15,4,Istanbul,Gold,0
28,9052.0,37,6,Ankara,Standart,0
45,39506.0,21,0,Ankara,Gold,0
42,32074.0,14,3,Istanbul,Premium,0
